,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
1614,1605198,"Absolute Boyfriend, Vol. 5",Yuu Watase,1421515350,4.17,2008,29,1,VIZ Media LLC,5:3069,4:1534,3:1177,2:283,1:98,total:6161,78,eng,,A miniature version of Night has returned to Riiko while his full-size body gets repaired--but now Soshi has decided to move in with them! Can a mini Night prove to Riiko that his love is just as real as Soshi's?,192.0,78.0
2586,1608153,"Let Sleeping Rogues Lie (School for Heiresses, #4)",Sabrina Jeffries,1416551514,3.95,2008,19,2,Pocket Books,5:1136,4:1470,3:936,2:147,1:34,total:3723,158,eng,,"From New York Times bestselling author Sabrina Jeffries comes the fourth book in her dazzling and sensual School for Heiresses series — the story of a charmingly handsome rake who challenges everything a young teacher thinks she knows about passion and desire.<br /><br />""Don't let yourself be fooled, Madeline:<br />once a rake, always a rake.""<br />— Mrs. Charlotte Harris, headmistress<br /><br />When Madeline Prescott took a teaching position at Mrs. Harris's School for Young Ladies, it was to help restore her father's reputation. Instead, she's in danger of ruining her own. The devilishly handsome Anthony Dalton, Viscount Norcourt, has agreed to provide ""rake lessons"" to Mrs. Harris's pupils so they can learn how to avoid unscrupulous gentlemen, and Madeline is to oversee his classes. She has always believed that attraction is a scientific matter, easily classified and controlled — until she's swept into the passionate desire that fiercely burns between her and Anthony. Nothing could be more illogical than risking everything for a dalliance with a rake — even one who's trying to behave himself. Yet nothing could be more tempting....",400.0,158.0
2901,1609018,"A Dangerous Thing (The Adrien English Mysteries, #2)",Josh Lanyon,0979311055,4.14,2007,1,6,MLR Press,5:2420,4:2665,3:1077,2:166,1:43,total:6371,352,eng,,"Suffering from writer's block and frustrated with his tentative relationship with hot but closeted L.A.P.D. Homicide Detective Jake Riordan, gay bookseller and mystery writer Adrien English travels to northern California where he finds a body in his front drive. By the time the sheriffs arrive, the body has disappeared, and Adrien once again finds himself playing amateur sleuth. But when the game turns deadly, Adrien turns to Jake. Jake may be confused about some things, but keeping his lover alive is not one of them--no matter what the cost.<br /><br />Who are the mysterious strangers excavating on his land? And will he sort out his problems with LAPD Detective Jake Riordan, heavily into S/M sex but not so hot on relationships? Find out in this engrossing, slyly witty thriller.",238.0,352.0
3069,1609451,Change of Heart,Jodi Picoult,0743496744,3.93,2008,4,3,Atria Books,5:32341,4:39675,3:24457,2:5341,1:1516,total:103330,5894,eng,,"The acclaimed #1 ""New York Times"" bestselling author presents a spellbinding tale of a mother's tragic loss and one man's last chance at gaining salvation.Can we save ourselves, or do we rely on others to do it? Is what we believe always the truth?<br /><br />One moment June Nealon was happily looking forward to years full of laughter and adventure with her family, and the next, she was staring into a future that was as empty as her heart. Now her life is a waiting game. Waiting for time to heal her wounds, waiting for justice. In short, waiting for a miracle to happen.<br /><br />For Shay Bourne, life holds no more surprises. The world has given him nothing, and he has nothing to offer the world. In a heartbeat, though, something happens that changes everything for him. Now, he has one last chance for salvation, and it lies with June's eleven-year-old daughter, Claire. But between Shay and Claire stretches an ocean of bitter regrets, past crimes, and the rage of a mother who has lost her child.<br /><br />Would you give up your vengeance against someone you hate if it meant saving someone you love? Would you want your dreams to come true if it meant granting your enemy's dying wish?<br /><br />Once again, Jodi Picoult mesmerizes and enthralls readers with this story of redemption, justice, and love.",448.0,5894.0
3862,1611656,"Dark Needs at Night's Edge (Immortals After Dark, #4)",Kresley Cole,141654707X,4.32,2008,29,4,Pocket Books,5:22642,4:14244,3:5924,2:967,1:223,total:44000,1176,eng,,"<b>Bestselling author Kresley Cole continues her seductive Immortals After Dark series with this tale of a vampire shunned even by his own kind and a beautiful phantom, bound together by a passion they cannot resist.</b><br /><br />A RAVEN-HAIRED TEMPTRESS OF THE DARK...<br /><br />Néomi Laress, a famous ballerina from a past century, became a phantom the night she was murdered. Imbued with otherworldly powers but invisible to the living, she haunts her beloved home, scaring away trespassers -- until she encounters a ruthless immortal even more terrifying than Néomi herself.<br /><br />A VAMPIRE WARRIOR CONSUMED BY MADNESS...<br /><br />To prevent him from harming others, Conrad Wroth's brothers imprison him in an abandoned manor. But there, a female only he can see seems determined to drive him further into madness. The exquisite creature torments him with desire, leaving his body racked with lust and his soul torn as he finds himself coveting her for his own.<br /><br />HOW FAR WILL HE GO TO CLAIM HER?<br /><br />Yet even if Conrad can win Néomi, evil still surrounds her. Once he returns to the brutality of his past to protect her, will he succumb to the dark needs seething inside him?",368.0,1176.0
4266,1612832,The Rabbi's Cat 2,Joann Sfar,0375425071,4.06,2008,1,4,Pantheon Books,5:332,4:377,3:190,2:30,1:8,total:937,118,eng,,"Joann Sfar's beloved, humorous, and wise talking cat is back for more beautifully illustrated adventures in Algiers and across Africa in the 1930s. While the rabbi is away, his cat tags along with Malka of the Lions (the rabbi's enigmatic cousin), who roams the desert with his ferocious-on-demand lion. Some believe Malka to be a pious Jew, others think he's a shrewd womanizer, but the cat will be the one to discover the surprising truth.<br /><br />Back in Algiers, the rabbi's daughter, Zlabya, and her new husband fill the house with their fighting, while the city around them fills with a rising tide of anti-Semitism. On a whim, the rabbi's cat, the rabbi, a sheikh (also a cousin of the rabbi), and a very misplaced Russian painter set out on a fantastic journey (even encountering a young reporter named Tintin in the Congo) in search of an African Jerusalem. It turns out to be very fortuitous that the rabbi's cat is not just a talking cat, but a <i>multilingual </i>talking cat.",144.0,118.0
4405,1613280,"Last Rituals (Þóra Guðmundsdóttir, #1)",Yrsa Sigurðardóttir,0061143367,3.59,2007,2,10,William Morrow,5:1500,4:3120,3:2886,2:786,1:185,total:8477,552,eng,,"At a university in Reykjavík, the body of a young German student is discovered, his eyes cut out and strange symbols carved into his chest. Police waste no time in making an arrest, but the victim's family isn't convinced that the right man is in custody. They ask Thóra Guðmundsdóttir, an attorney and single mother of two, to investigate. It isn't long before Thóra and her associate, Matthew Reich, uncover the deceased student's obsession with Iceland's grisly history of torture, execution, and witch hunts. But there are very contemporary horrors hidden in the long, cold shadow of dark traditions. And for two suddenly endangered investigators, nothing is quite what it seems ... and no one can be trusted.",314.0,552.0
6835,1620913,"Chosen (The Lost Books, #1)",Ted Dekker,159554657X,3.95,2007,15,12,Thomas Nelson,5:2851,4:3042,3:1974,2:482,1:122,total:8471,469,eng,,"Think with your heart and prepare to die for you have been chosen.<br /><br />The land of the Forest Dwellers has been decimated by the Horde under the watchful eye of the vilest of all creatures, Teeleh. Thomas Hunter, supreme commander of the Forest Guard, is forced to lower the recruitment age of his army from 18 to 16. From among thousands, four new recruits are chosen to lead--and perhaps die--for the greater good.<br /><br />The chosen four are sent on a quest to prove their character, but their mission takes a dramatic turn when they are intercepted, sworn to secrecy, and redirected to a different endgame. Now they must find the seven lost Books of History. Books that have power over the past, present, and future. Books whose words are alive. Books sought by the Dark One that control not only the destiny of their world...but that of ours as well.",260.0,469.0
8267,1624920,"Kitty and the Silver Bullet (Kitty Norville, #4)",Carrie Vaughn,0446618756,3.99,2008,1,2,Grand Central Publishing,5:5834,4:6759,3:3924,2:712,1:239,total:17468,458,eng,,"Kitty's radio show is as popular as ever and she has a boyfriend who actually seems to understand her. Can she finally settle down to a normal life? Not if this is just the calm before the storm. When her mother falls ill, Kitty rushes back to Denver--and right back to the abusive pack of werewolves she escaped a year ago. To make matters worse, a war is brewing between the city's two oldest vampires, threatening the whole supernatural community. Though she wants to stay neutral, Kitty is again drawn into a world of politics and violence. To protect her family, her lover, and herself, she'll have to choose sides. And maybe become what she hates--a killer.",326.0,458.0
8986,1627267,"Audrey, Wait!",Robin Benway,159514191X,3.77,2008,10,4,Razorbill,5:4281,4:4780,3:3786,2:1233,1:483,total:14563,1050,eng,,"<b>EVERYBODY'S SINGING, ""AUDREY, WAIT!""</b><br /><br />Audrey Cuttler's life hasn't been the same since that song, ""Audrey, Wait!"" hit the airwaves. All she wants to do is go to concerts, hang out with her friends, and maybe score a date with the cute boy who works with her at the Scooper Dooper.<br /><br />But now, her ex-boyfriend's song about their breakup is at the top of the charts and she's suddenly famous! The paparazzi won't leave her alone, the tabloids are trying to make her into some kind of rock goddess, and the Internet is documenting her every move!<br /><br />Will Audrey ever be able to have a normal life again? Get ready to find out, because it's time for Audrey to tell her side of the story.",313.0,1050.0
